mode,N,zmin,zmax,D_geo,D_obs,mu_null,sigma_null,zscore,delta,dataset,observer_seed
mass,3017,0.0,0.01,0.08635713541798264,0.10582074128113227,0.1094566859604737,0.03788971564189885,-0.09596125538933224,-0.0036359446793414324,TNG50,0
rankmass,3017,0.0,0.01,0.08635713541798264,0.08818312196623436,0.08687453465159334,0.005801528438641044,0.22555906231971284,0.0013085873146410215,TNG50,0
mass,3017,0.0,0.01,0.030373196983345768,0.0412763565540444,0.07746924230077357,0.03151839796677,-1.148309815266864,-0.036192885746729166,TNG50,1
rankmass,3017,0.0,0.01,0.030373196983345768,0.03387184963335686,0.03172136573029713,0.005679896716526892,0.37861320555397304,0.002150483903059733,TNG50,1
mass,3017,0.0,0.01,0.08552365015133088,0.09438701155032596,0.10875590090030487,0.038390227448445745,-0.3742850799536133,-0.014368889349978917,TNG50,2
rankmass,3017,0.0,0.01,0.08552365015133088,0.08786139422661796,0.08606608896417818,0.006153776819586303,0.291740392132139,0.0017953052624397753,TNG50,2
mass,3017,0.0,0.01,0.08849058906325015,0.118666776346969,0.10930191377219814,0.038595168599749194,0.24264339072823002,0.009364862574770857,TNG50,3
rankmass,3017,0.0,0.01,0.08849058906325015,0.08196609411782228,0.08915598320922163,0.006349482195839322,-1.132358335631011,-0.007189889091399351,TNG50,3
mass,3017,0.0,0.01,0.05417462648511615,0.04986229472281985,0.08875378366667643,0.03467432910182013,-1.1216219592786607,-0.03889148894385658,TNG50,4
rankmass,3017,0.0,0.01,0.05417462648511615,0.05155171521168445,0.05471457059093099,0.006513522480366802,-0.48558293746280634,-0.003162855379246536,TNG50,4
mass,3017,0.0,0.01,0.04983164392975691,0.11325673589686591,0.0856806346346848,0.03428915102525159,0.8042223396511983,0.027576101262181116,TNG50,5
rankmass,3017,0.0,0.01,0.04983164392975691,0.0504873599852215,0.05061644272791611,0.006135289543822461,-0.021039388894788416,-0.0001290827426946098,TNG50,5
mass,3017,0.0,0.01,0.07534179245236262,0.09559419987204162,0.1018930067385695,0.03593635015852307,-0.17527675567336337,-0.006298806866527881,TNG50,6
rankmass,3017,0.0,0.01,0.07534179245236262,0.07741567354608479,0.07595655961241587,0.005683019253819177,0.25674977833100693,0.001459113933668918,TNG50,6
mass,3017,0.0,0.01,0.077703440967285,0.13008275862554958,0.10186238643466342,0.03837484508147302,0.7353872603517211,0.02822037219088616,TNG50,7
rankmass,3017,0.0,0.01,0.077703440967285,0.090594120046436,0.07834412611880483,0.006778353539049637,1.8072226326142151,0.012249993927631167,TNG50,7
mass,3017,0.0,0.01,0.12419762326142081,0.1306202985478685,0.1379483467613405,0.04313820342178984,-0.16987374605801206,-0.007328048213471994,TNG50,8
rankmass,3017,0.0,0.01,0.12419762326142081,0.1247727348492515,0.12448407803543773,0.0063504542285540986,0.04545451450005764,0.0002886568138137646,TNG50,8
mass,3017,0.0,0.01,0.06867329686290062,0.09426893701823201,0.09755086832507638,0.03620807384632639,-0.09064086978980104,-0.003281931306844371,TNG50,9
rankmass,3017,0.0,0.01,0.06867329686290062,0.0695066499309032,0.0691208555984784,0.005982907044512307,0.06448275554918848,0.00038579433242480476,TNG50,9
mass,3017,0.0,0.01,0.07057471572567144,0.0487231977225991,0.09877048407951262,0.03640896512944985,-1.3745868958091354,-0.05004728635691352,TNG50,10
rankmass,3017,0.0,0.01,0.07057471572567144,0.06570026140761526,0.07111415207517958,0.006075082889351595,-0.8911632591966433,-0.005413890667564328,TNG50,10
mass,3017,0.0,0.01,0.06887031306275973,0.11690625438776686,0.0961465758012128,0.03742222936335386,0.5547418991259566,0.02075967858655406,TNG50,11
rankmass,3017,0.0,0.01,0.06887031306275973,0.07557704157082233,0.0694848266198784,0.0062981465390923655,0.9673028268125833,0.006092214950943933,TNG50,11
mass,3017,0.0,0.01,0.09186080398794982,0.10746280786808962,0.1104201560008735,0.04171987696518212,-0.07088583063780303,-0.0029573481327838796,TNG50,12
rankmass,3017,0.0,0.01,0.09186080398794982,0.0929807294548308,0.09230646753476819,0.006556545455412484,0.10283798452216875,0.0006742619200626049,TNG50,12
mass,3017,0.0,0.01,0.04352561429707297,0.06233355637947453,0.08090246299367061,0.03400904969281235,-0.54599898503252,-0.01856890661419608,TNG50,13
